omop_id,biolink_id
73153,MONDO:0001319
73183,MONDO:0016120
73231,UMLS:C0155943
73241,UMLS:C0002753
73267,UMLS:C0269702
73268,UMLS:C0015931
73287,UMLS:C0263715
73290,MONDO:0005307
73297,UMLS:C0158502
73300,MONDO:0006721
73301,UMLS:C0564795
73302,MONDO:0005392
73307,UMLS:C0158752
73318,HP:0001161
73334,UMLS:C0159931
73335,UMLS:C0159979
73336,UMLS:C0434692
73338,UMLS:C0160080
73341,UMLS:C0159716
73343,UMLS:C0159963
73349,UMLS:C0273153
73361,UMLS:C0273828
73362,UMLS:C0160983
73365,UMLS:C0433328
73366,UMLS:C0160990
73372,UMLS:C0273993
73373,UMLS:C0274036
73378,UMLS:C0161737
73383,UMLS:C0433581
73409,UMLS:C0153140
73534,NCIT:C92749
73537,UMLS:C0426142
73538,UMLS:C0405014
73546,UMLS:C0269977
73553,MONDO:0006816
73555,UMLS:C0409813
73560,MONDO:0002209
73561,UMLS:C0158082
73562,UMLS:C0409698
73564,UMLS:C0410017
73568,MONDO:0001332
73571,HP:0002756
73574,UMLS:C0016665
73575,UMLS:C0149662
73576,SNOMEDCT:203676006
73580,UMLS:C0265618
73584,MONDO:0024665
73609,UMLS:C0159663
73614,UMLS:C0159624
73615,SNOMEDCT:208509007
73649,UMLS:C0432773
73686,MONDO:0006002
73712,MONDO:0001380
73720,UMLS:C1263766
73723,MONDO:0021473
73754,MONDO:0005391
73801,MONDO:0001498
73819,HP:0034265
73824,UMLS:C0156979
73838,UMLS:C0263690
73840,UMLS:C0263752
73841,UMLS:C0427030
73842,UMLS:C0158307
73843,MONDO:0008288
73845,UMLS:C0158119
73847,UMLS:C0575640
73849,UMLS:C0024004
73851,UMLS:C0158158
73854,MONDO:0007606
73855,UMLS:C0158456
73866,UMLS:C0266008
73872,UMLS:C0158767
73884,UMLS:C0159620
73888,UMLS:C0435941
73889,UMLS:C0160091
73904,SNOMEDCT:210421004
73906,UMLS:C0160614
73913,UMLS:C0274041
73923,UMLS:C0160936
73925,UMLS:C0274035
74052,MONDO:0002008
74064,HP:0012478
74080,MONDO:0004838
74082,UMLS:C0403645
74104,UMLS:C0269764
74114,SNOMEDCT:267783003
74120,UMLS:C0157824
74124,UMLS:C0152086
74125,MONDO:0024280
74126,UMLS:C0409494
74127,HP:0002987
74130,UMLS:C0158243
74132,UMLS:C0263875
74135,MONDO:0056799
74138,UMLS:C0302491
74150,UMLS:C0158715
74160,HP:0004232
74174,UMLS:C0426359
74179,UMLS:C0159598
74188,UMLS:C0435750
74189,UMLS:C0160082
74192,UMLS:C0159723
74194,UMLS:C0160111
74211,UMLS:C0273865
74216,SNOMEDCT:212361009
74250,UMLS:C0274167
74322,MONDO:0021472
74373,MONDO:0001109
74392,UMLS:C0574962
74396,MONDO:0005473
74399,UMLS:C0685925
74415,UMLS:C0405066
74422,UMLS:C0269717
74434,UMLS:C0269978
74440,UMLS:C0342078
74444,UMLS:C0409829
74445,UMLS:C0263708
74447,UMLS:C0409774
74448,UMLS:C0410332
74450,UMLS:C0158123
74456,UMLS:C0158470
74458,UMLS:C0158313
74464,SNOMEDCT:30611007
74468,UMLS:C0432172
74469,HP:0001518
74470,UMLS:C5574688
74471,UMLS:C0152430
74472,UMLS:C0016508
74507,SNOMEDCT:66405000
74511,SNOMEDCT:210686002
74522,UMLS:C0433481
74533,UMLS:C0273448
74564,UMLS:C0276308
74582,UMLS:C1306294
74606,MONDO:0000631
74635,UMLS:C0154738
74698,HP:0001623
74706,UMLS:C0269550
74716,UMLS:C0269995
74719,UMLS:C0085119
74722,UMLS:C0263766
74723,MONDO:0001935
74724,UMLS:C0409809
74725,UMLS:C0158253
74726,HP:0001373
74727,MONDO:0001429
74728,UMLS:C0039104
74729,SNOMEDCT:202936005
74731,MONDO:0006965
74733,UMLS:C1282314
74737,MONDO:0018815
74739,UMLS:C0158408
74740,MONDO:0021003
74747,UMLS:C0158486
74763,UMLS:C0159722
74768,UMLS:C0272665
74772,UMLS:C0159765
74775,UMLS:C0159543
74777,UMLS:C0159892
74778,UMLS:C0272803
74783,UMLS:C0434585
74786,UMLS:C0273107
74806,UMLS:C0160621
74808,UMLS:C0160758
74809,UMLS:C0273444
74813,SNOMEDCT:31946005
74816,UMLS:C0160957
74855,MONDO:0005770
74862,UMLS:C0153181
74864,MONDO:0041903
74892,MONDO:0005393
74949,UMLS:C0155513
74998,MONDO:0004919
75004,HP:0012587
75010,MONDO:0003725
75035,UMLS:C0263723
75036,UMLS:C0263755
75039,UMLS:C0343161
75042,UMLS:C0409260
75043,UMLS:C0343170
75046,UMLS:C0158054
75047,UMLS:C0434572
75048,MONDO:0004881
75050,UMLS:C0158480
75051,UMLS:C0158056
75052,UMLS:C0158311
75053,MONDO:0005315
75065,UMLS:C0264179
75070,UMLS:C0495023
75073,UMLS:C0158718
75091,UMLS:C0009044
75092,UMLS:C0272705
75095,UMLS:C0272769
75099,SNOMEDCT:209571002
75103,UMLS:C0160113
75112,UMLS:C0160629
75114,UMLS:C0160981
75121,UMLS:C0274155
75126,UMLS:C0160755
75128,UMLS:C0272434
